"IDENTIFIER","GSM526561","GSM526562","GSM526602","GSM526603","GSM526605","GSM526678"
"Cdh20",4.89007,4.86429,5.08559,4.74703,4.94503,4.58884
"Capza1",8.18483,8.34492,8.24691,8.18349,8.11705,8.26622
"Zfp706",9.29564,9.39997,9.30465,9.24361,9.34214,9.38604
"Tnfrsf11a",4.80424,4.80413,4.83883,4.71637,4.8732,4.72
"Zcchc2",7.45214,7.36727,7.33115,7.25146,7.03468,7.38613
"Phlpp1",7.42274,7.48,7.50585,7.36015,7.48541,7.58066
"Bcl2",3.79343,3.38781,3.34353,3.86687,3.66888,3.78746
"Serpinb5",2.69729,2.72329,2.83134,2.5839,2.75199,2.76871
"Serpinb12",2.34877,2.28215,2.34302,2.55332,2.3958,2.34877
"Serpinb13",2.65429,2.80707,2.67661,2.78952,2.88505,2.8597
"Serpinb11",2.42345,2.42039,2.53417,2.55298,2.56459,2.63505
"Serpinb7",1.96308,2.07014,1.97906,2.25541,2.08939,1.87611
"Serpinb2",3.27031,3.31675,3.232,3.27901,3.56733,3.38205
"Serpinb10",2.33681,2.51749,2.3319,2.29603,2.62542,2.41739
"Serpinb8",4.83852,4.3386,4.50833,4.94039,5.10309,4.72707
"Cdh7",3.68989,3.66253,3.87217,3.90995,3.81738,3.80176
"Cntnap5a",3.55376,3.59631,3.52095,3.49259,3.65668,3.42659
"Nifk",7.45191,7.5668,7.63911,7.57765,7.62727,7.71929
"Clasp1",6.86801,6.97011,6.95168,7.02868,6.89077,6.96317
"Tfcp2l1",6.32344,6.2109,6.40445,6.50099,6.55544,6.42484
"Tmem185b",6.68089,6.59904,6.67106,6.57523,6.5214,6.73788
"Sctr",5.43925,5.45034,5.63581,5.38231,5.41496,5.21731
"C1ql2",6.03605,6.08305,6.08572,5.9219,6.07976,5.79781
"En1",5.41668,5.4873,5.54581,5.54492,5.49259,5.29026
"Ccdc93",5.99289,5.78917,5.91186,6.1295,5.94257,6.03636
"Dpp10",4.99789,4.98604,4.98641,5.02568,5.0326,5.02988
"Slc35f5",9.36447,9.12742,9.1756,9.44885,9.549,9.45963
"Lypd1",5.66224,5.78919,5.70657,5.60183,5.76844,5.79002
"Mgat5",6.35086,6.38557,6.47924,6.68765,6.67206,6.54627
"Acmsd",7.57911,8.23834,7.15615,6.98311,6.32907,6.83299
"Ccnt2",7.4528,7.63203,7.26083,7.37909,7.30831,7.47078
"Rab3gap1",7.66326,7.77292,7.68149,7.57066,7.62562,7.72321
"Rpl28",10.5496,10.5304,10.6647,10.6945,10.6424,10.6756
"R3hdm1",7.20713,7.32167,7.32513,7.43576,7.1739,7.46784
"Mir128-1",4.55739,4.55347,4.55938,4.5682,4.64081,4.53502
"Ubxn4",8.98633,9.32936,9.12647,9.06667,9.26765,9.34451
"Thsd7b",4.86206,4.81536,5.01561,4.96701,4.81982,4.75288
"Yod1",6.96846,7.07214,6.79015,6.76966,6.95242,7.01239
"AA986860",5.97341,6.13176,5.98362,5.93675,5.65034,5.86513
"Fcamr",4.49676,4.60214,4.87605,4.75962,4.7685,4.80092
"Pigr",11.1499,11.0532,11.0505,11.1471,11.0313,11.1729
"Faim3",4.95199,5.01034,4.87982,5.03512,4.92221,4.99967
"Il10",3.18953,3.21698,3.11733,3.32977,3.27874,3.269
